,Unnamed: 0,Unnamed: 0.1,sourceName,double,speed,length
417,417,8079,Parkinsons,0.327,2.259305655,21.25984252
418,418,8080,Parkinsons,0.33899999999999997,1.789549034,19.29133858
419,419,8081,Parkinsons,0.3395,1.53230136,18.30708661
420,420,8082,Parkinsons,0.2836666667,3.265926986,30.57742782
421,421,8083,Parkinsons,0.332,1.946134574,25.59055118
422,422,8084,Parkinsons,0.2915,2.7626163210000003,27.16535433
423,423,8085,Parkinsons,0.337,2.2369362919999998,23.22834646
424,424,8086,Parkinsons,0.319,2.393521832,23.22834646
425,425,8087,Parkinsons,0.306,2.326413744,22.83464567
426,426,8088,Parkinsons,0.313,2.2369362919999998,22.04724409
427,427,8089,Parkinsons,0.302,2.650769506,27.16535433
428,428,8090,Parkinsons,0.327,2.102720115,21.65354331
429,429,8091,Parkinsons,0.307,2.102720115,18.11023622
430,430,8092,Parkinsons,0.32,2.102720115,22.44094488
431,431,8093,Parkinsons,0.313,2.4606299209999998,23.22834646
432,432,8094,Parkinsons,0.287,2.8856478169999997,27.16535433
433,433,8095,Parkinsons,0.301,2.9974946310000004,28.74015748
434,434,8096,Parkinsons,0.31866666670000005,2.214566929,23.32677165
435,435,8097,Parkinsons,0.304,2.438260558,20.47244094
